policy_state,policy_deductible,policy_annual_premium,insured_age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,claim_amount,total_claim_amount,fraud_reported_bin,incident_month,incident_dayofweek,claim_to_premium_ratio
GA,400,1430.78,74,OTHER,High School,Manager,reading,Parked Car,Front,Total Loss,None,MI,6,1,4,0,Yes,8161.36,11677.6,1,6,3,5.704133409748529
PA,300,854.49,74,MALE,College,Lawyer,chess,Vehicle Theft,Rear,Total Loss,None,OH,0,3,4,5,No,18561.79,18027.81,0,3,6,21.722653278563822
MI,400,1247.28,28,OTHER,PhD,Doctor,reading,Parked Car,Unknown,Total Loss,Police,MI,14,4,4,1,No,10734.61,10375.59,0,1,6,8.606415560259125
CA,600,622.42,37,MALE,PhD,Teacher,yachting,Parked Car,Rear,Total Loss,Police,NC,22,3,3,5,No,13188.92,14204.34,0,6,0,21.189743260178016
MI,700,1458.17,31,OTHER,PhD,Sales,reading,Single Vehicle Collision,Side,Minor Damage,Fire,NY,18,4,2,4,No,21864.69,24038.84,0,5,1,14.994609681998668
PA,700,1015.6,32,MALE,College,Manager,camping,Parked Car,Unknown,Major Damage,Ambulance,FL,20,2,4,5,No,12483.84,11780.94,0,3,1,12.292083497439936
PA,300,1254.39,30,OTHER,High School,Doctor,reading,Multi-vehicle Collision,Rear,Major Damage,Ambulance,PA,16,4,0,3,Yes,16687.4,19045.75,0,12,3,13.303199164534156
MI,700,1288.08,29,FEMALE,PhD,Lawyer,reading,Parked Car,Rear,Major Damage,Police,MI,5,1,3,5,No,7111.4,8272.63,0,10,6,5.520930376995218
NC,500,942.22,61,FEMALE,College,Clerk,yachting,Parked Car,Unknown,Total Loss,Ambulance,NC,22,1,4,5,Yes,1603.74,2549.55,0,11,6,1.7020865615249092
GA,700,1277.15,19,OTHER,High School,Doctor,chess,Vehicle Theft,Unknown,Major Damage,Ambulance,FL,17,3,3,0,No,18778.37,15959.84,0,5,1,14.703339466781504
FL,700,839.16,46,OTHER,PhD,Sales,paintball,Single Vehicle Collision,Front,Total Loss,Fire,IL,6,4,3,3,No,17022.79,22383.95,0,11,3,20.285511702178372
MI,400,886.71,41,OTHER,College,Technician,paintball,Vehicle Theft,Side,Total Loss,Police,CA,4,4,4,5,Yes,935.88,936.22,0,11,4,1.0554521771492371
NC,300,626.23,33,FEMALE,Masters,Doctor,chess,Multi-vehicle Collision,Front,Minor Damage,None,TX,3,1,0,3,No,9042.2,17788.89,0,4,0,14.439103843635726
FL,300,1288.93,59,FEMALE,College,Clerk,movies,Single Vehicle Collision,Unknown,Major Damage,Ambulance,OH,23,4,1,5,Yes,21442.46,24667.55,0,8,0,16.63586075271737
FL,700,1202.23,45,FEMALE,PhD,Lawyer,hiking,Multi-vehicle Collision,Side,Total Loss,None,NC,12,3,2,1,No,2671.49,3132.11,0,4,3,2.2221122414180314
FL,700,1356.73,33,MALE,PhD,Doctor,reading,Vehicle Theft,Front,Major Damage,Fire,GA,16,1,1,2,Yes,12704.15,17768.74,0,10,3,9.363801198469849
TX,700,1344.16,34,MALE,PhD,Manager,camping,Multi-vehicle Collision,Unknown,Total Loss,Ambulance,OH,0,4,3,2,No,9643.23,12568.11,0,1,0,7.174168253779311
PA,400,1165.83,60,FEMALE,PhD,Clerk,movies,Vehicle Theft,Front,Minor Damage,Police,FL,9,2,3,1,Yes,11010.22,14253.03,0,9,1,9.444104200440888
FL,500,1116.42,71,MALE,College,Manager,paintball,Multi-vehicle Collision,Front,Total Loss,Ambulance,GA,20,3,1,4,No,2418.45,3294.48,0,8,3,2.1662546353522867
NY,600,806.6,62,FEMALE,Masters,Sales,chess,Multi-vehicle Collision,Front,Major Damage,Fire,FL,14,4,2,3,No,18352.24,18227.64,0,4,1,22.752591123233326
GA,500,688.68,70,OTHER,PhD,Clerk,yachting,Parked Car,Unknown,Minor Damage,Fire,NY,14,4,1,3,Yes,20963.93,24203.5,0,3,0,30.440741708776212
PA,400,1106.37,25,OTHER,Masters,Manager,reading,Multi-vehicle Collision,Side,Minor Damage,Police,NC,11,4,1,5,No,22634.14,22161.42,0,11,5,20.458020372931298
CA,600,1197.21,23,FEMALE,Masters,Clerk,movies,Single Vehicle Collision,Unknown,Total Loss,None,NY,8,1,1,1,Yes,571.25,1104.58,1,3,4,0.47715104284127263
PA,1000,1455.1,41,MALE,Masters,Doctor,yachting,Multi-vehicle Collision,Side,Minor Damage,Police,GA,2,4,4,3,No,14782.66,15486.28,0,2,3,10.159205552882964
MI,200,773.47,58,OTHER,PhD,Lawyer,chess,Parked Car,Rear,Major Damage,None,OH,3,1,1,0,No,5069.34,5616.48,0,7,5,6.554022780456902
IL,500,1010.2,49,MALE,High School,Teacher,chess,Multi-vehicle Collision,Rear,Major Damage,Police,MI,20,2,4,5,Yes,12083.73,12744.23,0,5,0,11.961720451395763
NC,300,838.35,24,MALE,Masters,Technician,chess,Multi-vehicle Collision,Unknown,Total Loss,None,GA,6,4,0,4,Yes,6450.68,9474.52,0,11,3,7.694495139261645
MI,1000,699.57,40,FEMALE,Masters,Technician,yachting,Vehicle Theft,Unknown,Minor Damage,Fire,FL,1,4,1,0,Yes,26411.93,22495.12,0,5,2,37.754520634103805
GA,1000,634.82,69,OTHER,PhD,Engineer,camping,Vehicle Theft,Side,Minor Damage,Police,OH,6,4,4,4,Yes,5989.84,5383.95,0,8,0,9.435493525723826
NY,500,690.73,44,OTHER,Masters,Sales,chess,Single Vehicle Collision,Front,Total Loss,Ambulance,NY,9,2,2,0,Yes,16077.18,17483.05,1,1,1,23.275635921416473
PA,1000,679.34,72,OTHER,Masters,Teacher,chess,Vehicle Theft,Front,Minor Damage,None,CA,9,2,1,4,Yes,13547.72,19323.19,0,10,2,19.94247357729561
OH,400,1183.26,31,OTHER,High School,Clerk,hiking,Single Vehicle Collision,Side,Minor Damage,Police,OH,3,1,2,3,Yes,5641.83,5865.87,0,2,2,4.768039146087927
FL,600,1309.96,22,OTHER,High School,Teacher,movies,Parked Car,Rear,Minor Damage,Ambulance,MI,2,3,2,0,Yes,20571.41,24615.06,0,12,0,15.703845918959358
FL,700,615.83,58,FEMALE,High School,Engineer,chess,Parked Car,Unknown,Minor Damage,Police,NY,21,3,2,5,Yes,16101.64,18133.76,0,4,5,26.14624165760031
