model,fpr,tpr
LR (claim amount only),0.0,0.0
LR (claim amount only),0.00018825301204819278,0.0
LR (claim amount only),0.00037650602409638556,0.0
LR (claim amount only),0.00037650602409638556,0.0014534883720930232
LR (claim amount only),0.0005647590361445783,0.0014534883720930232
LR (claim amount only),0.0005647590361445783,0.0029069767441860465
LR (claim amount only),0.002259036144578313,0.0029069767441860465
LR (claim amount only),0.002259036144578313,0.00436046511627907
LR (claim amount only),0.003200301204819277,0.00436046511627907
LR (claim amount only),0.003200301204819277,0.007267441860465116
LR (claim amount only),0.00338855421686747,0.007267441860465116
LR (claim amount only),0.00338855421686747,0.00872093023255814
LR (claim amount only),0.005459337349397591,0.00872093023255814
LR (claim amount only),0.005459337349397591,0.010174418604651164
LR (claim amount only),0.006588855421686747,0.010174418604651164
LR (claim amount only),0.006588855421686747,0.011627906976744186
LR (claim amount only),0.00809487951807229,0.011627906976744186
LR (claim amount only),0.00809487951807229,0.01308139534883721
LR (claim amount only),0.008471385542168674,0.01308139534883721
LR (claim amount only),0.008471385542168674,0.014534883720930232
LR (claim amount only),0.008659638554216868,0.014534883720930232
LR (claim amount only),0.008659638554216868,0.015988372093023256
LR (claim amount only),0.009224397590361446,0.015988372093023256
LR (claim amount only),0.009224397590361446,0.01744186046511628
LR (claim amount only),0.009600903614457831,0.01744186046511628
LR (claim amount only),0.009600903614457831,0.020348837209302327
LR (claim amount only),0.009789156626506024,0.020348837209302327
LR (claim amount only),0.009789156626506024,0.02180232558139535
LR (claim amount only),0.01016566265060241,0.02180232558139535
LR (claim amount only),0.01016566265060241,0.023255813953488372
LR (claim amount only),0.010918674698795181,0.023255813953488372
LR (claim amount only),0.010918674698795181,0.024709302325581394
LR (claim amount only),0.012048192771084338,0.024709302325581394
LR (claim amount only),0.012048192771084338,0.02616279069767442
LR (claim amount only),0.013365963855421686,0.02616279069767442
LR (claim amount only),0.013365963855421686,0.027616279069767442
LR (claim amount only),0.014683734939759037,0.027616279069767442
LR (claim amount only),0.014683734939759037,0.029069767441860465
LR (claim amount only),0.015625,0.029069767441860465
LR (claim amount only),0.015625,0.030523255813953487
LR (claim amount only),0.017319277108433735,0.030523255813953487
LR (claim amount only),0.017319277108433735,0.03197674418604651
LR (claim amount only),0.018072289156626505,0.03197674418604651
LR (claim amount only),0.018072289156626505,0.03343023255813953
LR (claim amount only),0.01957831325301205,0.03343023255813953
LR (claim amount only),0.01957831325301205,0.036337209302325583
LR (claim amount only),0.02371987951807229,0.036337209302325583
LR (claim amount only),0.02371987951807229,0.0377906976744186
LR (claim amount only),0.026920180722891568,0.0377906976744186
LR (claim amount only),0.026920180722891568,0.03924418604651163
LR (claim amount only),0.029367469879518073,0.03924418604651163
LR (claim amount only),0.029367469879518073,0.04215116279069767
LR (claim amount only),0.029555722891566265,0.04215116279069767
LR (claim amount only),0.029555722891566265,0.0436046511627907
LR (claim amount only),0.030308734939759035,0.0436046511627907
LR (claim amount only),0.030308734939759035,0.04505813953488372
LR (claim amount only),0.03068524096385542,0.04505813953488372
LR (claim amount only),0.03068524096385542,0.04796511627906977
LR (claim amount only),0.030873493975903613,0.04796511627906977
LR (claim amount only),0.030873493975903613,0.04941860465116279
LR (claim amount only),0.03162650602409638,0.04941860465116279
LR (claim amount only),0.03162650602409638,0.050872093023255814
LR (claim amount only),0.03219126506024096,0.050872093023255814
LR (claim amount only),0.03219126506024096,0.05232558139534884
LR (claim amount only),0.03237951807228916,0.05232558139534884
LR (claim amount only),0.03237951807228916,0.05377906976744186
LR (claim amount only),0.03275602409638554,0.05377906976744186
LR (claim amount only),0.03275602409638554,0.059593023255813955
LR (claim amount only),0.03426204819277109,0.059593023255813955
LR (claim amount only),0.03426204819277109,0.061046511627906974
LR (claim amount only),0.03463855421686747,0.061046511627906974
LR (claim amount only),0.03463855421686747,0.0625
LR (claim amount only),0.03576807228915663,0.0625
LR (claim amount only),0.03576807228915663,0.06395348837209303
LR (claim amount only),0.03614457831325301,0.06395348837209303
LR (claim amount only),0.03614457831325301,0.06540697674418605
LR (claim amount only),0.036897590361445784,0.06540697674418605
LR (claim amount only),0.036897590361445784,0.06686046511627906
LR (claim amount only),0.0389683734939759,0.06686046511627906
LR (claim amount only),0.0389683734939759,0.06831395348837209
LR (claim amount only),0.039344879518072286,0.06831395348837209
LR (claim amount only),0.039344879518072286,0.07122093023255814
LR (claim amount only),0.04009789156626506,0.07122093023255814
LR (claim amount only),0.04009789156626506,0.07267441860465117
LR (claim amount only),0.04103915662650602,0.07267441860465117
LR (claim amount only),0.04103915662650602,0.07412790697674419
LR (claim amount only),0.04235692771084337,0.07412790697674419
LR (claim amount only),0.04235692771084337,0.0755813953488372
LR (claim amount only),0.04348644578313253,0.0755813953488372
LR (claim amount only),0.04348644578313253,0.07994186046511628
LR (claim amount only),0.043674698795180725,0.07994186046511628
LR (claim amount only),0.043674698795180725,0.08284883720930232
LR (claim amount only),0.04536897590361446,0.08284883720930232
LR (claim amount only),0.04536897590361446,0.08430232558139535
LR (claim amount only),0.046875,0.08430232558139535
LR (claim amount only),0.046875,0.08575581395348837
LR (claim amount only),0.04838102409638554,0.08575581395348837
LR (claim amount only),0.04838102409638554,0.08866279069767442
